id;muscle_group_en;muscle_group_fr
25c24b31-d933-46e6-b766-0c8af1ed390a;Full body;Corps complet
264a7a87-58b1-49e2-90a8-b613b7f2cb36;Core;Abdos
2783130c-4cbb-4d54-bcab-e0548ad8e68a;Legs;Jambes
2a76b534-f451-4a49-8fc0-9aa82eabe8d7;Arms;Bras
2a9bcb3d-c0cf-4e5f-bb0f-64d9a99db340;Shoulders;Épaules
2b0c7270-1847-4117-a5b0-fd630dc56cd7;Core;Abdos
2df3e0f2-3cd6-4b0f-a9a2-440322382097;Legs;Jambes
2e06db38-c36a-421b-a6a0-6a20ac94ea01;Shoulders;Épaules
2f5dc0de-8030-470b-8348-09d806d070fd;Chest;Pectoraux
2fd70829-cc7a-4c1e-ab9e-968d8d30785f;Legs;Jambes
306d1901-9759-4194-8a68-1754efe02542;Full body;Corps complet
30db82ef-f9d5-4ee8-a9b2-fae311e47b1c;Core;Abdos
3140aa75-ef1e-4686-87fd-da964e5494f8;Back;Dos
31ea1ea9-07a6-404d-94bf-9a0f890104bc;Chest;Pectoraux
32cc95e0-ef29-45cd-8645-fd041ebb410e;Legs;Jambes
34c290a8-33bc-4dc6-997d-56769dbf8339;Arms;Bras
3504bef7-ccde-44a1-8c79-f1b0d6e1e688;Core;Abdos
3617568c-7209-4c6e-9623-8a6a5652a08b;Shoulders;Épaules
387addac-7812-423f-9dc3-fbc7b9dc9992;Chest;Pectoraux
38e14f7a-c8b9-4c61-8ee7-566b82996bdf;Legs;Jambes
395d54c3-cd60-4fa2-b83c-99cdfff07afb;Legs;Jambes
395d5d2f-3c90-4b9b-a9d2-15a544ebbe21;Arms;Bras
3a8fb2db-c216-49a8-8120-65f52e36c1ad;Shoulders;Épaules
3da7ed23-0687-4044-af0f-754ef5a83755;Legs;Jambes
3df3df95-fe3e-4873-ad37-4dadcb917c45;Chest;Pectoraux
3e59efb5-60a3-4bc1-a5b8-b47ee504d6eb;Full body;Corps complet
3e5e16bf-08df-4588-a76b-d4b783e9a555;Shoulders;Épaules
3ee74315-0b42-4a19-98f6-a26629a817d5;Legs;Jambes
3fb7c3b6-565f-4b0f-9207-a59757fa76b7;Back;Dos
3fc2119e-b92d-420b-af57-f2b431902074;Shoulders;Épaules
4004faf1-27e1-40f3-9a86-7af903dccffc;Legs;Jambes
412918c1-f509-49db-8c5b-0fd60c28f433;Shoulders;Épaules
41311e11-9570-4672-8dec-91f2d4a24970;Arms;Bras
41fa45bb-0e4c-4ace-a976-0069fa46cd04;Back;Dos
42219fa3-f109-4b56-a4fc-6af5fc4f350c;Shoulders;Épaules
42affa76-a8ef-44f5-b701-4951a6425253;Legs;Jambes
44184406-56fc-4b94-bf0e-e1d14b0d5be5;Core;Abdos
44955a8d-ca79-4cec-acba-eeddb967a866;Core;Abdos
44cabe1b-7511-4004-9e2b-00514780607b;Core;Abdos
45defa0b-a6b5-4650-829b-a7fc7fca9d0e;Shoulders;Épaules
46510051-16f0-4ae4-92a7-aeec9f06d879;Back;Dos
481b9cde-43e2-44e7-b22f-edf7d63764f1;Core;Abdos
4974d2f4-f1ad-45f5-a1cf-1c72b9d4b7b7;Legs;Jambes
49e7158b-2661-40a5-ac95-c35bc9a63dba;Legs;Jambes
4aa4d36a-c815-4caf-bca2-184244d44e34;Core;Abdos
4af9f4cd-713f-4678-a47e-9658a9f44a8d;Legs;Jambes
4b5a23c1-91f3-4c0a-88e5-624efa76fcd2;Back;Dos
4b9c2da0-51b7-4005-9498-36a0a49097a2;Arms;Bras
4bbd90a8-0d86-4e20-8538-b2182ea89849;Shoulders;Épaules
4bd2e5c8-f8dc-4009-9207-7091a567a9c6;Arms;Bras
4cd70009-3eed-4b18-b32b-1161cc025712;Back;Dos
4fd6e517-678d-403b-8a2f-0466d1436ef6;Chest;Pectoraux
50e0a255-01b3-4ed9-83c4-e3a7c0c74c66;Core;Abdos
50fbef34-4784-42e0-9991-bd6670f67a5e;Chest;Pectoraux
52fff59f-6999-4b21-8d28-d63ab0948b97;Arms;Bras
542dcf55-3e54-4496-89ec-afff74607e16;Chest;Pectoraux
5572f829-6649-437e-9763-aa7143214102;Core;Abdos
